ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       655
トリガ点,         0
開始時刻,2021-07-31,14:22:43
終了時刻,2021-07-31,14:33:37
トリガ時刻,2021-07-31,14:22:43
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
       179,2021/7/31,14:25:41,     0,- 0.151,- 1.346,LLLL,LLLL
       180,2021/7/31,14:25:42,     0,+ 0.372,+ 1.059,LLLL,LLLL
       181,2021/7/31,14:25:43,     0,+ 0.165,- 0.605,LLLL,LLLL
       182,2021/7/31,14:25:44,     0,+ 0.296,- 0.034,LLLL,LLLL
       183,2021/7/31,14:25:45,     0,+ 0.861,- 0.294,LLLL,LLLL
       184,2021/7/31,14:25:46,     0,+ 0.597,+ 2.120,LLLL,LLLL
       185,2021/7/31,14:25:47,     0,+ 0.608,+ 0.787,LLLL,LLLL
       186,2021/7/31,14:25:48,     0,+ 0.706,+ 1.000,LLLL,LLLL
       187,2021/7/31,14:25:49,     0,+ 0.738,+ 0.168,LLLL,LLLL
       188,2021/7/31,14:25:50,     0,- 0.115,+ 1.114,LLLL,LLLL
       189,2021/7/31,14:25:51,     0,+ 0.525,+ 0.101,LLLL,LLLL
       190,2021/7/31,14:25:52,     0,+ 0.647,- 1.392,LLLL,LLLL
       191,2021/7/31,14:25:53,     0,+ 1.469,+ 2.011,LLLL,LLLL
       192,2021/7/31,14:25:54,     0,+ 0.685,- 2.400,LLLL,LLLL
       193,2021/7/31,14:25:55,     0,+ 2.000,+ 0.223,LLLL,LLLL
       194,2021/7/31,14:25:56,     0,+ 1.297,- 0.694,LLLL,LLLL
       195,2021/7/31,14:25:57,     0,+ 1.955,+ 1.287,LLLL,LLLL
       196,2021/7/31,14:25:58,     0,+ 1.315,- 0.855,LLLL,LLLL
       197,2021/7/31,14:25:59,     0,+ 1.390,+ 0.977,LLLL,LLLL
       198,2021/7/31,14:26:00,     0,+ 0.947,- 1.026,LLLL,LLLL
       199,2021/7/31,14:26:01,     0,+ 1.450,+ 2.467,LLLL,LLLL
       200,2021/7/31,14:26:02,     0,+ 1.486,- 1.576,LLLL,LLLL
       201,2021/7/31,14:26:03,     0,+ 0.867,+ 0.620,LLLL,LLLL
       202,2021/7/31,14:26:04,     0,+ 1.405,+ 0.228,LLLL,LLLL
       203,2021/7/31,14:26:05,     0,+ 1.124,- 0.770,LLLL,LLLL
       204,2021/7/31,14:26:06,     0,+ 1.175,- 1.878,LLLL,LLLL
       205,2021/7/31,14:26:07,     0,+ 0.891,- 0.135,LLLL,LLLL
       206,2021/7/31,14:26:08,     0,+ 1.547,+ 0.430,LLLL,LLLL
       207,2021/7/31,14:26:09,     0,+ 0.790,- 0.523,LLLL,LLLL
       208,2021/7/31,14:26:10,     0,+ 0.979,- 2.158,LLLL,LLLL
       209,2021/7/31,14:26:11,     0,+ 1.652,+ 2.810,LLLL,LLLL
       210,2021/7/31,14:26:12,     0,+ 1.080,- 0.045,LLLL,LLLL
       211,2021/7/31,14:26:13,     0,+ 1.450,- 1.011,LLLL,LLLL
       212,2021/7/31,14:26:14,     0,+ 0.502,- 0.016,LLLL,LLLL
       213,2021/7/31,14:26:15,     0,+ 1.356,- 0.708,LLLL,LLLL
       214,2021/7/31,14:26:16,     0,+ 2.152,+ 0.757,LLLL,LLLL
       215,2021/7/31,14:26:17,     0,+ 2.038,+ 1.794,LLLL,LLLL
       216,2021/7/31,14:26:18,     0,+ 1.237,- 1.434,LLLL,LLLL
       217,2021/7/31,14:26:19,     0,+ 1.423,- 0.607,LLLL,LLLL
       218,2021/7/31,14:26:20,     0,+ 1.859,+ 0.549,LLLL,LLLL
       219,2021/7/31,14:26:21,     0,+ 1.006,+ 1.330,LLLL,LLLL
       220,2021/7/31,14:26:22,     0,+ 1.859,- 0.239,LLLL,LLLL
       221,2021/7/31,14:26:23,     0,+ 0.936,- 0.220,LLLL,LLLL
       222,2021/7/31,14:26:24,     0,+ 1.321,+ 0.640,LLLL,LLLL
       223,2021/7/31,14:26:25,     0,+ 1.475,- 1.241,LLLL,LLLL
       224,2021/7/31,14:26:26,     0,+ 1.692,- 2.959,LLLL,LLLL
       225,2021/7/31,14:26:27,     0,+ 1.307,+ 0.717,LLLL,LLLL
       226,2021/7/31,14:26:28,     0,+ 1.197,+ 0.063,LLLL,LLLL
       227,2021/7/31,14:26:29,     0,+ 0.864,+ 1.424,LLLL,LLLL
